listing_id,date
125176,2020-01-06
125176,2020-01-21
125176,2020-01-25
125176,2020-01-27
125176,2020-01-31
125176,2020-02-09
125176,2020-02-13
125176,2020-02-22
125176,2020-02-26
125176,2020-03-01
125176,2020-03-08
125176,2020-03-13
125176,2020-05-18
125176,2020-11-10
125176,2020-12-04
125176,2021-01-15
125176,2021-01-21
125176,2021-02-28
129163,2012-05-10
129163,2012-06-22
129163,2012-09-24
129163,2012-10-09
129163,2012-11-18
129163,2013-07-02
129163,2013-07-11
129163,2013-08-16
129163,2013-08-24
129163,2014-01-01
129163,2014-07-02
129163,2014-07-08
129163,2014-07-13
129163,2014-07-17
129163,2014-07-24
129163,2014-08-02
129163,2014-09-06
129163,2014-10-18
129163,2014-10-22
129163,2015-03-16
129163,2015-05-02
129163,2015-05-13
129163,2015-05-31
129163,2015-06-18
129163,2015-06-27
129163,2015-06-29
129163,2015-07-01
129163,2015-08-30
129163,2015-12-19
129163,2016-02-20
129163,2016-03-01
129163,2016-04-02
129163,2016-04-30
129163,2016-05-06
129163,2016-07-13
129163,2016-10-01
129163,2017-07-29
129163,2017-08-07
129163,2017-08-10
129163,2017-08-14
129163,2017-08-19
129163,2017-08-26
129163,2017-09-07
129163,2017-10-10
129163,2017-11-30
129163,2018-01-05
129163,2018-06-25
129163,2018-10-26
129163,2018-12-31
129163,2019-02-16
129163,2019-12-31
129163,2020-01-31
129163,2020-03-18
134688,2011-08-23
134688,2011-08-29
134688,2011-09-16
134688,2012-07-31
134688,2012-08-18
134688,2012-08-22
134688,2013-04-19
134688,2013-07-22
134688,2013-08-09
134688,2013-08-16
134688,2013-08-19
134688,2013-09-05
134688,2013-09-09
134688,2013-09-15
134688,2013-11-01
134688,2014-08-19
134688,2014-08-25
134688,2014-09-14
134688,2015-06-02
134688,2015-07-05
134688,2015-07-10
134688,2015-07-17
134688,2015-07-25
134688,2015-07-28
134688,2015-11-01
134688,2016-05-23
134688,2016-09-01
134688,2017-04-01
134688,2017-04-30
134688,2017-05-06
134688,2017-07-20
134688,2017-07-29
134688,2017-08-08
134688,2017-08-23
134688,2017-08-26
134688,2017-09-23
134688,2018-12-15
134688,2019-11-19
134688,2020-04-11
134688,2020-08-15
134688,2020-12-29
140698,2011-07-02
140698,2011-07-23
140698,2011-07-26
140698,2011-08-05
140698,2011-09-09
140698,2011-09-25
140698,2011-10-28
140698,2011-12-02
140698,2012-02-19
140698,2012-03-27
140698,2012-04-12
140698,2012-04-17
140698,2012-05-09
140698,2012-05-27
140698,2012-05-30
140698,2012-09-01
140698,2012-10-12
140698,2013-06-19
140698,2013-07-18
140698,2013-08-16
140698,2013-08-23
140698,2013-11-01
140698,2013-11-25
140698,2014-01-06
140698,2014-02-09
140698,2014-02-22
140698,2014-04-01
140698,2014-07-09
140698,2014-09-01
140698,2014-12-06
140698,2015-01-10
140698,2015-01-25
140698,2015-02-22
140698,2015-04-21
140698,2015-04-29
140698,2015-06-03
140698,2015-06-13
140698,2015-06-18
140698,2015-09-09
140698,2015-09-24
140698,2015-10-26
140698,2015-12-20
140698,2016-04-24
140698,2016-05-01
140698,2016-05-13
140698,2016-06-02
140698,2016-06-12
140698,2016-06-22
140698,2016-06-28
140698,2016-07-10
140698,2016-07-20
140698,2016-07-25
140698,2016-07-30
140698,2016-08-12
140698,2016-08-18
140698,2016-08-26
140698,2016-08-29
140698,2016-09-07
140698,2016-09-19
140698,2016-09-25
140698,2016-11-22
140698,2016-11-29
140698,2016-11-30
140698,2016-12-29
140698,2017-01-18
140698,2017-02-01
140698,2017-02-19
140698,2017-03-01
140698,2017-03-14
140698,2017-04-09
140698,2017-05-09
140698,2017-05-23
140698,2017-08-26
140698,2017-10-04
140698,2018-01-31
140698,2018-04-20
140698,2018-05-13
140698,2018-05-22
140698,2018-06-29
140698,2018-07-02
140698,2018-07-09
140698,2018-07-17
140698,2018-08-06
140698,2018-08-12
140698,2018-08-22
140698,2018-08-27
140698,2018-09-11
140698,2018-09-18
140698,2018-09-26
140698,2018-10-03
140698,2018-11-28
140698,2018-12-12
140698,2019-01-01
140698,2019-03-09
140698,2019-03-26
140698,2019-04-10
140698,2019-04-30
140698,2019-05-15
140698,2019-06-24
140698,2019-07-12
140698,2019-07-29
140698,2019-08-12
140698,2019-08-19
140698,2019-09-03
140698,2019-10-11
140698,2019-11-01
140698,2019-11-15
140698,2019-11-26
140698,2019-12-20
140698,2020-01-05
140698,2020-03-03
140698,2020-03-22
140698,2020-08-29
140698,2020-09-22
140698,2020-10-07
170137,2011-08-30
170137,2012-08-28
170137,2012-09-02
170137,2013-08-20
170137,2013-09-04
170137,2014-06-14
170137,2014-07-05
170137,2014-07-13
170137,2014-07-16
170137,2014-07-26
170137,2014-08-01
170137,2014-08-06
170137,2014-08-08
170137,2014-08-14
170137,2014-08-19
170137,2014-08-30
170137,2014-08-31
170137,2015-01-08
170137,2015-01-16
170137,2015-06-07
170137,2015-06-10
170137,2015-06-14
170137,2015-06-20
170137,2015-07-07
170137,2015-07-14
170137,2015-07-16
170137,2015-07-28
170137,2015-08-09
170137,2015-08-17
170137,2015-08-19
170137,2015-08-23
170137,2015-08-31
170137,2016-06-07
170137,2016-06-15
170137,2016-06-26
170137,2016-06-29
170137,2016-07-08
170137,2016-07-12
170137,2016-07-18
170137,2016-07-24
170137,2016-07-29
170137,2016-08-02
170137,2016-08-04
170137,2016-08-09
170137,2016-08-13
170137,2016-08-14
170137,2016-08-19
170137,2016-08-24
170137,2017-06-01
170137,2017-06-07
170137,2017-06-15
170137,2017-06-19
170137,2017-07-03
170137,2017-07-07
170137,2017-07-14
170137,2017-07-18
170137,2017-07-22
170137,2017-07-25
170137,2017-08-05
170137,2017-08-21
170137,2017-08-30
170137,2017-10-09
170137,2017-10-14
170137,2017-10-15
170137,2017-10-26
170137,2017-11-05
170137,2018-03-11
170137,2018-03-18
170137,2018-03-31
170137,2018-04-21
170137,2018-04-25
170137,2018-05-06
170137,2018-05-13
170137,2018-05-18
170137,2018-05-26
170137,2018-05-31
170137,2018-06-03
170137,2018-06-23
170137,2018-07-04
170137,2018-07-09
170137,2018-07-13
170137,2018-08-04
170137,2018-08-09
170137,2018-08-20
170137,2018-08-25
170137,2018-08-29
170137,2018-09-03
170137,2018-09-09
170137,2018-09-11
170137,2018-09-15
170137,2018-09-16
170137,2018-09-20
170137,2018-10-04
170137,2018-10-08
170137,2018-10-16
170137,2018-10-23
170137,2018-10-26
170137,2018-10-27
170137,2018-11-12
170137,2018-11-17
170137,2018-11-24
170137,2018-12-02
170137,2018-12-09
170137,2018-12-17
170137,2019-01-02
170137,2019-01-04
170137,2019-01-06
170137,2019-01-15
170137,2019-01-20
170137,2019-02-15
170137,2019-03-01
170137,2019-03-03
170137,2019-03-13
170137,2019-03-24
170137,2019-03-27
170137,2019-04-09
170137,2019-04-14
170137,2019-04-19
170137,2019-04-21
170137,2019-04-27
170137,2019-05-04
170137,2019-05-06
170137,2019-05-11
170137,2019-05-19
170137,2019-05-21
170137,2019-05-26
170137,2019-06-01
170137,2019-06-10
170137,2019-06-15
170137,2019-06-17
170137,2019-06-28
170137,2019-07-01
170137,2019-07-14
170137,2019-07-20
170137,2019-08-06
170137,2019-08-12
170137,2019-08-28
170137,2019-08-30
170137,2019-08-31
170137,2019-09-08
170137,2019-09-09
170137,2019-09-30
170137,2019-10-19
170137,2019-10-27
170137,2019-11-01
170137,2019-11-11
170137,2019-12-01
170137,2019-12-28
170137,2020-01-04
170137,2020-02-19
170137,2020-03-04
170137,2020-03-08
170137,2020-09-13
172827,2018-07-26
172827,2018-08-02
172827,2018-08-19
172827,2019-01-05
172827,2019-08-05
172827,2019-08-15
172827,2019-12-28
174135,2011-09-19
174135,2011-10-01
174135,2012-04-02
174135,2012-04-18
174135,2012-05-02
174135,2012-05-13
174135,2012-05-23
174135,2012-05-27
174135,2012-06-03
174135,2012-06-05
174135,2012-06-06
174135,2012-06-18
174135,2012-06-26
174135,2012-07-05
174135,2012-07-19
174135,2012-07-23
174135,2012-07-31
174135,2012-08-23
174135,2012-08-27
174135,2012-09-07
174135,2012-09-16
174135,2012-09-21
174135,2012-09-29
174135,2012-10-29
174135,2012-12-15
174135,2013-01-22
174135,2013-03-04
174135,2013-03-15
174135,2013-04-02
174135,2013-04-13
174135,2013-04-18
174135,2013-04-30
174135,2013-05-20
174135,2013-06-26
174135,2013-06-30
174135,2013-07-06
174135,2013-07-15
174135,2013-07-23
174135,2013-07-28
174135,2013-08-01
174135,2013-08-07
174135,2013-08-12
174135,2013-08-21
174135,2013-08-25
174135,2013-09-29
174135,2013-10-23
174135,2013-10-26
174135,2013-11-04
174135,2013-11-25
174135,2013-12-27
174135,2014-01-02
174135,2014-01-05
174135,2014-01-21
174135,2014-01-24
174135,2014-02-18
174135,2014-03-03
174135,2014-04-01
174135,2014-04-07
174135,2014-05-06
174135,2014-05-12
174135,2014-05-20
174135,2014-05-31
174135,2014-06-16
174135,2014-06-22
174135,2014-07-04
174135,2014-07-20
174135,2014-08-01
174135,2014-08-07
174135,2014-08-28
174135,2014-09-04
174135,2014-09-10
174135,2014-09-14
174135,2014-09-17
174135,2014-09-21
174135,2014-09-29
174135,2014-10-10
174135,2014-10-17
174135,2014-10-25
174135,2014-11-16
174135,2014-11-25
174135,2014-12-01
174135,2014-12-10
174135,2015-01-01
174135,2015-01-12
174135,2015-02-01
174135,2015-06-09
174135,2015-06-14
174135,2015-06-18
174135,2015-06-24
174135,2015-06-28
174135,2015-07-01
174135,2015-07-05
174135,2015-07-12
174135,2015-07-18
174135,2015-07-30
174135,2015-08-07
174135,2015-08-18
174135,2015-08-26
174135,2015-08-31
174135,2015-09-03
174135,2015-09-08
174135,2015-09-13
174135,2015-09-16
174135,2015-09-23
174135,2015-09-27
174135,2015-10-01
174135,2015-10-09
174135,2015-10-14
174135,2015-10-18
174135,2015-10-22
174135,2016-08-06
174135,2017-11-22
174135,2017-12-17
174135,2017-12-26
174135,2018-01-13
174135,2018-04-04
182451,2011-08-16
182451,2011-08-20
182451,2011-08-23
182451,2013-12-22
182451,2014-08-02
182451,2014-08-28
182451,2014-09-15
182451,2016-06-05
182451,2016-06-17
182451,2016-07-01
182451,2016-07-16
182451,2016-07-21
182451,2016-07-24
182451,2016-07-29
182451,2016-08-01
182451,2016-08-31
182451,2016-09-06
182451,2016-09-29
182451,2016-10-02
182451,2016-12-23
182451,2017-04-04
182451,2017-04-29
182451,2017-05-06
182451,2017-05-10
182451,2017-05-18
182451,2017-05-23
182451,2017-06-07
182451,2017-06-18
182451,2017-06-25
182451,2017-07-08
182451,2017-07-13
182451,2017-07-17
182451,2017-08-03
182451,2017-08-08
182451,2017-08-11
182451,2017-08-22
182451,2017-09-11
182451,2017-09-21
182451,2017-12-31
182451,2018-01-31
182451,2018-02-14
182451,2018-04-29
182451,2018-05-05
182451,2018-05-10
182451,2018-05-17
182451,2018-05-21
182451,2018-05-24
182451,2018-05-28
182451,2018-08-31
182451,2018-09-06
182451,2018-12-25
182451,2019-11-30
182451,2020-01-12
182451,2020-01-20
182451,2020-04-01
182451,2020-10-22
182451,2021-02-28
219261,2016-09-05
219261,2016-09-16
219261,2016-09-19
219261,2016-09-21
219261,2016-09-25
219261,2016-10-01
219261,2016-10-07
219261,2016-10-16
219261,2016-10-23
219261,2016-11-05
219261,2016-11-19
219261,2016-11-27
219261,2016-12-19
219261,2016-12-22
219261,2016-12-30
219261,2017-03-18
219261,2017-03-31
219261,2017-04-05
219261,2017-04-15
219261,2017-04-25
219261,2017-05-08
219261,2017-05-22
219261,2017-05-28
219261,2017-05-31
219261,2017-06-08
219261,2017-06-24
219261,2017-07-04
219261,2017-07-08
219261,2017-07-12
219261,2017-07-18
